住所,緯度,経度
大阪府和泉市府中町５丁目８−１４,34.4878348,135.4322481
大阪府和泉市府中町５丁目５−４０,34.4857481,135.4301641
大阪府和泉市一条院町１６７－２,34.484111,135.4407155
大阪府和泉市府中町5－19－2,34.4860456,135.4317609
大阪府和泉市幸2－7－23,34.5008925,135.4378334
大阪府和泉市繁和町3番2－302,34.4819485,135.4162427
大阪府和泉市府中町1777－21,34.4926794,135.426596
大阪府泉大津市豊中町2丁目11番14号,34.4940034,135.4225748
大阪府和泉市黒鳥町1－5－12,34.4900047,135.4356657
大阪府和泉市伯太町4－10－3,34.4966232,135.4405474
大阪府和泉市府中町5－4－20,34.4860877,135.4300487
大阪府和泉市府中町2－8－23,34.4839162,135.4218769
大阪府和泉市伯太町2－25－6,34.4926259,135.4369263
大阪府和泉市鶴山台4－16－10,34.4983761,135.4509284
大阪府和泉市鶴山台4－12－18,34.4992103,135.453618
大阪府和泉市府中町5－21－3,34.4865425,135.4333729
